category,lecture,lecturer,link
Graduate,Accounting Practices and Principles Learning,Alexander Sannella,https://www.youtube.com/playlist?list=PLauepKFT6DK9Z-nYfYfiKKM4kA6SrIB4q
Graduate,Advanced Auditing and Information Systems,Professor Brennan,https://www.youtube.com/playlist?list=PLauepKFT6DK9w-bUZcaSvoYftPWqZKFM0
Graduate,Advanced Auditing and Information Systems,Professor Brennan/ Professor Qi,https://www.youtube.com/playlist?list=PLauepKFT6DK_J8pzDy-4nsnG-43OC2WFI
Graduate,Government Accounting ,Professor Reck,https://www.youtube.com/playlist?list=PLauepKFT6DK9qqYzm6lFvcJMQLHusWVDZ
Graduate,Government & Non Profit Accounting ,Professor Irfan Bora,https://www.youtube.com/playlist?list=PLauepKFT6DK92XnweVkgKWd0QpOCIepch
Graduate,Gov't & Not For Profit Accounting ( Spring 2012),Professor Irfan Bora,https://www.youtube.com/playlist?list=PLauepKFT6DK-SFFOUwIZ5wGL2nYxFr7Rf
Graduate,Government Accounting Modules ,Professor Bora,https://www.youtube.com/playlist?list=PLauepKFT6DK-xJiVax_8eM6mejILfG8Xw
Graduate,Information Technology,Miklos A. Vasarhelyi,https://www.youtube.com/playlist?list=PLauepKFT6DK9k9osufWHJ-kdYNh9UEjML
Graduate,Information Technology,Miklos A. Vasarhelyi,https://www.youtube.com/playlist?list=PLauepKFT6DK8XQ8eL22WmvL_8RxidgdYI
Graduate,Information Technology,Miklos A. Vasarhelyi,https://www.youtube.com/playlist?list=PLauepKFT6DK9NU8c33c5xkh_hjorXLuEF
Graduate,Accounting in the Digital Era,Professor Moffitt,https://www.youtube.com/playlist?list=PLauepKFT6DK8_Xun584UQPPsg1grYkWw0
Graduate,Accounting in the Digital Era,Professor Moffitt,https://www.youtube.com/playlist?list=PLauepKFT6DK98O2c4YeyL2uFU2ANpQjXI
Graduate,Corporate Tax ( 2013 Summer),Professor Soled,https://www.youtube.com/playlist?list=PLauepKFT6DK_tAjdmvONw-AICfwfBfirJ
Graduate,Inocme Tax (Fall 2012),Professor Soled,https://www.youtube.com/playlist?list=PLauepKFT6DK-rURCC0kfhW6n5h33Ma4uX
Graduate,Income Tax (Fall 2016),Professor Soled,https://www.youtube.com/playlist?list=PLauepKFT6DK9yJLxNSDdqRCAOj8GNxNTO
Graduate,Income Tax (Fall 2016),Professor Soled,https://www.youtube.com/playlist?list=PLauepKFT6DK9YPl0xNZymiebUGI3oHXpk
Graduate,Cybersecurity Assurance (fall 2022),professor Maria Zhang,https://www.youtube.com/playlist?list=PLauepKFT6DK8d10QQbWAmlPeQDKKjllvU
Graduate,Intro to AI in Accounting and Audit,Prof. Lanxin Zhang,https://www.youtube.com/playlist?list=PLauepKFT6DK9nh2bwzzeUwPGkft9PJD_G
