category,lecture,lecturer,link
Phd Level,Rutgers AIS Weekly Technology Forum,Arion Cheong,https://youtube.com/playlist?list=PLauepKFT6DK-2GU6vRxDhagwH0-G99ll8
Phd Level,Special Topics in Accounting,Professor Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK_8U--ca51aGC7IO_Zua7ZG
Phd Level,Machine Learning,Professor Kogan,https://youtube.com/playlist?list=PLauepKFT6DK_1_plY78bXMDj-bshv7UsQ
Phd Level,Current Topics in Auditing,Miklos A. Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK_j1oQ2JWBX_0SRCR_FYoxZ
Phd Level,Special Topics in Accounting - Survey of AIS,Miklos A. Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK-e5QJ-mm7bJyYJQicoC-WX
Phd Level,Current Topics in Auditing,Miklos A. Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK9qFiG6h0Rn2GUxLK4dXrqx
Phd Level,Special Topics in Accounting ,Miklos A. Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK8BbMq5kVr-rm651yKOuOxY
Phd Level,Text Mining,Arion Cheong,https://youtube.com/playlist?list=PLauepKFT6DK85xugwwxcCQF2zv1lN-7oC
Phd Level,Special Topics In Accounting,Miklos A. Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK8EJBevlLmKl8_lOI8eITtL
Phd Level,Current Topics in Auditing,Miklos A. Vasarhelyi,https://youtube.com/playlist?list=PLauepKFT6DK9yErkbUuAcTii10jXH6MRl
Phd Level,CARLAB Presentation,Miklos A. Vasarhelyi,
Phd Level,CARLAB Advisory Board,,
