category,lecture,lecturer,link
WCARS,"51 WCARS
",Michael Alias ,https://www.youtube.com/watch?v=U4yZb57FVuU&list=PLauepKFT6DK-uX6KdoSeoYtYSZSO5IXGq&pp=iAQB
WCARS,50th WCARS,"Kevin Simon, Jeffory Sorensen, more..",https://www.youtube.com/watch?v=MreUqsm6G0s&list=PLauepKFT6DK-AmPA9iO3RJFf0dcr7zZSB&pp=iAQB
WCARS,The 53rd World Continuous Auditing & Reporting Symposium,Deniz Appelbaum,https://www.youtube.com/watch?v=sUlpgCtXWxw&list=PLauepKFT6DK-hIaalLb00OfC8baGrfL3F&pp=iAQB
WCARS,The 56th World Continuous Auditing & Reporting Symposium,Helen Brown Liburd,https://www.youtube.com/playlist?list=PLauepKFT6DK9umKEwBbAPZmNeRSflOYGv
WCARS,23 WCARS,"Kevin Simon, Jeffory Sorensen, more..",https://www.youtube.com/playlist?list=PLauepKFT6DK8vX_tF0zMo7TGMNbVVmwdm
WCARS,19th World Continuous Auditing & Reporting Symposium,"Dean Yaw Mensah, Dr. Miklos Vasarhelyi, more",https://www.youtube.com/playlist?list=PL70EF4A032B67669A
WCARS,16th World Continuous Auditing & Reporting Symposium,Lopes da Silva,https://www.youtube.com/playlist?list=PLA1AD4D943A96A616
WCARS,The 2nd Continuous Reporting Conference,"Michael Alias,Dr. Miklos Vasarhelyi, more",https://www.youtube.com/playlist?list=PL296D6F005E3C83AA
WCARS,14th World Continuous Auditing and Reporting Symposium (2007),Michael P. Cangemi,https://www.youtube.com/playlist?list=PL9DCF094CEB259BEA
WCARS,Continuous Reporting Symposium (2008),"Professor James Hunton,Dr. Miklos Vasarhelyi, more",https://www.youtube.com/playlist?list=PL51A00E93077E002C
