category,lecture,lecturer,link
Undergaduate,Intro to Financial Accounting,Alexander Sannella,https://www.youtube.com/watch?v=NJBpia9TAz8&list=PLauepKFT6DK8681ao4CJE66c2FEpUoBa1
Undergaduate,Intro to Financial Accounting,Victoria Chiu ,https://youtu.be/80QWVZCxbaA
Undergaduate,"Introduction to Financial Accounting Modules: Chiu (Spring 2013)
",Victoria Chiu ,https://youtube.com/playlist?list=PLauepKFT6DK8xBu96Izx7jDZ_27ITnVgQ
Undergaduate,Introduction to Financial Accounting: Sannella (Gold Series),Professor Sannella,https://youtube.com/playlist?list=PLauepKFT6DK_L2Cyfh7xj-7RO0dOjw3Ya
Undergaduate,Intro to Managerial Accounting: Introduction to Cost Terms and Concepts,Sativa Sahay,https://www.youtube.com/watch?v=fcUSfR9mmKw&list=PLauepKFT6DK8eC_f1Xn0GdXIFlqJhRKXW&pp=iAQB
Undergaduate,Introduction to Managerial Accounting,Tatianna Gershberg,https://www.youtube.com/playlist?list=PLauepKFT6DK8eC_f1Xn0GdXIFlqJhRKXW
Undergaduate,Introduction to Managerial Accounting,Victoria Chiu ,https://youtube.com/playlist?list=PLauepKFT6DK-_oeRXQVYqx5k-6NXZBB10
Undergaduate,Management & Cost Accounting,Ephraim Sudit,https://www.youtube.com/watch?v=gotRypwYEq4&list=PLauepKFT6DK99H8XwMC4DH_ethQFrF5gG&pp=iAQB
Undergaduate,Introduction to Managerial Accounting,Divya Anantharaman,https://www.youtube.com/watch?v=8PJqp7wBui0&list=PLauepKFT6DK_bHW4XOjGFn1UCsVAyUzCh&pp=iAQB
Undergaduate,Introduction to Managerial Accounting Modules,Victoria Chiu ,https://www.youtube.com/watch?v=BBb4LBKc_Qs&list=PLauepKFT6DK9BFHCDSm2mAc5dHsTXjYvY&pp=iAQB
Undergaduate,Management and Cost Accounting,Professor Cooperberg,https://www.youtube.com/watch?v=k-Ih-sd596w&list=PLauepKFT6DK89pOMg9XB8z261o2YqbqFI&pp=iAQB
Undergaduate,Management & Cost Accounting I,Professor Cooperberg,https://www.youtube.com/watch?v=p4Pe-CC7A1U&list=PLauepKFT6DK_foI8mN97gy79ro7wbe5tW&pp=iAQB
Undergaduate,Management & Cost Accounting,Ephraim Sudit,https://www.youtube.com/watch?v=A538_WIqyNY&list=PLauepKFT6DK_S74AuysWm4y7-9atZUyIT&pp=iAQB
Undergaduate,(iPad) Cost & Management Accounting ,Ephraim Sudit,https://www.youtube.com/watch?v=phmNRYeNsS0&list=PLauepKFT6DK9rbotn6mdb-k8QN30GrRgI&pp=iAQB
Undergaduate,Management and Cost Accounting Modules,Noel Coopeberg,https://www.youtube.com/watch?v=fNczeoorqe0&list=PLauepKFT6DK_292guThKZeZsyYPf0U6Hu&pp=iAQB
Undergaduate,Business Law I,Gita Sharma,https://www.youtube.com/watch?v=LybrTyp5aA8&list=PLauepKFT6DK_FfeQhW3mNQFNa7FjQb6ZC&pp=iAQB
Undergaduate,Business Law II,Gita Sharma,https://www.youtube.com/watch?v=cOV9_vYMZDA&list=PLauepKFT6DK-ZhPQ7hfu9klzPWTEuJhpu&pp=iAQB
Undergaduate,Intermediate Accounting I ,Rebecca Bloch,https://www.youtube.com/watch?v=xgB55fWzvik&list=PLauepKFT6DK9dxk2FVWoEQwGQmevDiCeC&pp=iAQB
Undergaduate,Intermediate Accounting I Modules ,Rebecca Bloch,https://www.youtube.com/watch?v=Byfmacb9p8E&list=PLauepKFT6DK89VkgRcxXULLugYi-nxYc3&pp=iAQB
